name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime,price_range
Real Ale Way,"55 Station Approach, Hayes",Hayes,,Bromley,,,E09000006,Hayes and Coney Hall,E05000119,540096.0001,166069.0001,0.013124866,51.37586896,03/20/2022,££
Pie & Pint Bar,6 Bourne Way,Hayes,,Bromley,,,E09000006,Hayes and Coney Hall,E05000119,539774.0001,166028.0001,0.008484778,51.37557986,03/20/2022,££
George,29 Hayes Street,Hayes,,Bromley,,,E09000006,Hayes and Coney Hall,E05000119,540557.0001,166471.0001,0.019903907,51.37936781,03/20/2022,£
Crooked Billet,286 Southborough Lane,Bromley,,Bromley,,,E09000006,Bromley Common and Keston,E05000108,543205.0001,167655.0001,0.058408912,51.38934636,03/20/2022,£££
Chequers,177 Southborough Lane,Bromley,,Bromley,,,E09000006,Bickley,E05000106,542395.0001,167675.0001,0.046782111,51.38972996,03/20/2022,£
Two Doves,37 Oakley Road Kent,Bromley Common,Bromley,Bromley,,,E09000006,Bromley Common and Keston,E05000108,542066.0001,165670.0001,0.041254295,51.37179354,03/20/2022,£
Bird in Hand,62 Gravel Road,Bromley Common,Bromley,Bromley,,,E09000006,Bromley Common and Keston,E05000108,542269.0001,165905.0001,0.04426317,51.37385465,03/20/2022,£
Bricklayers Arms,141-143 Masons Hill,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,541017.0001,168251.0001,0.027217013,51.39525066,03/20/2022,£
Crown of Bromley,14 Masons Hill,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,541001.0001,168199.0001,0.026966495,51.39478731,03/20/2022,£
Chatterton Arms,41 Chatterton Road,Bromley Common,Bromley,Bromley,,,E09000006,Bromley Common and Keston,E05000108,541681.0001,167952.0001,0.036636642,51.3923981,03/20/2022,£££
Crown,155 Bromley Common,Bromley Common,Bromley,Bromley,,,E09000006,Bromley Common and Keston,E05000108,541657.0001,167678.0001,0.03618253,51.38994166,03/20/2022,£
George Inn,111 High Street,Beckenham,,Bromley,,,E09000006,Copers Cope,E05000113,537275.0001,169398.0001,-0.026098218,51.40647702,03/20/2022,£
